1001|IgG|1.23|2016-03-11 14:13:00|mx3000p|003
1002|C3|2.34|2016-03-11 14:13:01|mx3000p|003
1003|C4|3.45|2016-03-11 14:13:01|mx3000p|003
1004|C5|4.56|2016-03-11 14:13:01|mx3000p|003
1005|PCR|5.67|2016-03-11 14:13:01|mx3000p|003
1001|IgG|1.23|2016-03-11 14:16:13|mx3000p|003
1002|C3|2.34|2016-03-11 14:16:13|mx3000p|003
1003|C4|3.45|2016-03-11 14:16:13|mx3000p|003
1004|C5|4.56|2016-03-11 14:16:13|mx3000p|003
1005|PCR|5.67|2016-03-11 14:16:13|mx3000p|003
1001|IgG|1.23|2016-03-11 14:16:21|mx3000p|003
1002|C3|2.34|2016-03-11 14:16:21|mx3000p|003
1003|C4|3.45|2016-03-11 14:16:21|mx3000p|003
1004|C5|4.56|2016-03-11 14:16:21|mx3000p|003
1005|PCR|5.67|2016-03-11 14:16:21|mx3000p|003
