1001|C3|2.34|2016-03-11 17:00:43|5700|002
1002|C3|2.34|2016-03-11 17:00:43|5700|002
1003|C3|2.34|2016-03-11 17:00:43|5700|002
1004|C3|2.34|2016-03-11 17:00:43|5700|002
1005|C3|2.34|2016-03-11 17:00:43|5700|002
1006|C3|2.34|2016-03-11 17:00:43|5700|002
1007|C3|2.34|2016-03-11 17:00:43|5700|002
1001|C3|2.34|2016-03-11 17:01:40|5700|002
1002|C3|2.34|2016-03-11 17:01:40|5700|002
1003|C3|2.34|2016-03-11 17:01:40|5700|002
1004|C3|2.34|2016-03-11 17:01:40|5700|002
1005|C3|2.34|2016-03-11 17:01:40|5700|002
1006|C3|2.34|2016-03-11 17:01:40|5700|002
1007|C3|2.34|2016-03-11 17:01:40|5700|002
1001|C3|2.34|2016-03-11 17:03:52|5700|002
1002|C3|2.34|2016-03-11 17:03:52|5700|002
1003|C3|2.34|2016-03-11 17:03:52|5700|002
1004|C3|2.34|2016-03-11 17:03:52|5700|002
1005|C3|2.34|2016-03-11 17:03:52|5700|002
1006|C3|2.34|2016-03-11 17:03:52|5700|002
1007|C3|2.34|2016-03-11 17:03:53|5700|002
